"Reference","Qty","Value","Name","LCSC Part number"
"C1,C2,C3,C7","4","4.7uF","Samsung Electro-Mechanics CL05A475MP5NRNC","C23733"
"C4,C5,C29","3","10uF","Samsung Electro-Mechanics CL05A106MP5NUNC","C315248"
"C6,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18","12","100uF","Samsung Electro-Mechanics CL05C101JB5NNNC","C26409"
"C19,C20","2","15pF","Samsung Electro-Mechanics CL05C150JB5NNNC","C86285"
"D17,D18","2","5V","onsemi RB521S30T1G","C145179"
"D19","1","SMLVN6RGB","ROHM SMLVN6RGB1W1","C2842809"
"J1","1","DX07P024AJ1R1500","JAE Electronics DX07P024AJ1R1500","C5352764"
"J3","1","Microsd card","HRS DM3AT-SF-PEJM5","C114218"
"L2","1","AOTA-B201610S3R3-101-T","ABRACON AOTA-B201610S3R3-101-T","C42411119"
"R1","1","5.1kΩ","YAGEO RC0402FR-075K1L","C105872"
"R2,R3","2","27Ω","PANASONIC ERJ2RKF27R0X","C413051"
"R4","1","33Ω","FOJAN FRC0402F33R0TS","C2906868"
"R5,R6","2","1kΩ","YAGEO RC0402FR-071KL","C106235"
"R7","1","9.1kΩ","YAGEO RC0402FR-079K1L","C163450"
"R8","1","6.2kΩ","YAGEO RC0402FR-076K2L","C137946"
"R9,R10,R11,R12,R13","5","10kΩ","YAGEO RC0402FR-0710KL","C60490"
"S1","1","SKRPACE010","ALPSALPINE SKRPACE010","C139797"
"SW1,SW2","2","CK_KMS2xxG","C&K KMS231GLFS","C221701"
"U1","1","RP2350B","Raspberry Pi RP2350B","C42415655"
"U2","1","NCP1117-3.3_SOT223","onsemi NCP1117ST33T3G","C26537"
"U3","1","W25Q128JVS","Winbond W25Q128JVSIQ","C97521"
"Y1","1","ABM8-272-T3","ABRACON ABM8-272-T3","C20625731"
