Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C7",0402,4,4.7uF,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C6, C8, C9",0402,12,100uF,
"C19, C20",0402,2,15pF,
"C29, C4, C5",0402,3,10uF,
D1,LED_ROHM_SMLVN6,1,SMLVN6RGB,
"D17, D18",0402,2,5V,
J1,JAE_DX07P024AJ1R1500,1,DX07P024AJ1R1500,
J3,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Microsd card,
R1,0201,1,5.1kΩ,
"R10, R11, R12, R13, R9",0201,5,10kΩ,
"R2, R3",0201,2,27Ω,
R4,0402,1,33Ω,
"R5, R6",0402,2,1kΩ,
R7,0201,1,9.1kΩ,
R8,0201,1,6.2kΩ,
S1,SW_SKRPACE010,1,SKRPACE010,
"SW1, SW2",SW_SPST_CK_KMS2xxGP,2,CK_KMS2xxG,
U1,QFN-80-1EP_10x10mm_P0.4mm_EP3.4x3.4mm,1,RP2350B,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
Y1,XTAL_ABM8-272-T3,1,ABM8-272-T3,
