Designator,Mid X,Mid Y,Rotation,Layer
C1,117.6528,-67.056,0.0,top
C10,111.3028,-70.5866,0.0,bottom
C11,111.3054,-71.5518,0.0,bottom
C12,111.3054,-72.517,0.0,bottom
C13,111.3054,-73.4822,0.0,bottom
C14,111.3054,-74.4474,0.0,bottom
C15,113.1798,-70.609,0.0,bottom
C16,113.1798,-71.5772,0.0,bottom
C17,113.1798,-72.5424,0.0,bottom
C18,111.8362,-76.4286,90.0,top
C19,124.1552,-92.2528,0.0,bottom
C2,115.7504,-67.056,0.0,top
C20,123.2942,-87.0458,180.0,bottom
C29,117.7036,-80.0608,90.0,bottom
C3,124.333,-63.4746,0.0,top
C4,118.4402,-84.5794,270.0,bottom
C5,116.4702,-84.5794,270.0,bottom
C6,126.5962,-82.4992,0.0,bottom
C7,126.5962,-83.439,0.0,bottom
C8,126.591,-81.534,0.0,bottom
C9,113.1772,-73.5076,0.0,bottom
D1,118.2878,-96.0374,180.0,bottom
D17,113.8404,-67.056,180.0,bottom
D18,112.0394,-63.5508,0.0,top
J1,118.618,-61.214,180.0,top
J2,126.3396,-77.851,0.0,top
J3,118.237,-89.662,0.0,top
R1,118.11,-64.897,90.0,bottom
R10,119.9388,-80.0198,90.0,bottom
R11,119.2022,-80.01,90.0,bottom
R12,121.412,-80.0198,90.0,bottom
R13,122.1486,-80.0202,90.0,bottom
R2,120.0658,-66.99,90.0,bottom
R3,119.253,-66.9646,90.0,bottom
R4,121.3866,-69.723,0.0,bottom
R5,124.839,-68.9864,180.0,bottom
R6,125.1966,-87.0458,180.0,bottom
R7,126.4712,-76.2508,0.0,top
R8,125.0082,-76.2508,180.0,top
R9,120.6754,-80.0202,90.0,bottom
S1,125.7554,-72.6694,90.0,top
SW1,126.3142,-66.929,90.0,top
SW2,110.998,-66.929,270.0,top
U1,118.1738,-73.292,90.0,top
U2,117.0178,-89.2302,180.0,bottom
U3,113.1062,-80.1177,180.0,bottom
Y1,124.6934,-89.6874,0.0,bottom
