Designator,Mid X,Mid Y,Rotation,Layer
C1,113.555,-77.29,90.0,bottom
C10,117.46,-76.915,0.0,bottom
C11,117.47,-77.885,0.0,bottom
C12,123.795,-75.62,90.0,bottom
C13,122.84,-75.62,90.0,bottom
C14,121.875,-75.62,90.0,bottom
C15,124.23,-78.96,0.0,bottom
C16,124.24,-79.92,0.0,bottom
C17,124.24,-80.88,0.0,bottom
C18,122.89,-83.06,270.0,bottom
C19,114.88,-61.03,0.0,bottom
C2,115.53,-77.275,90.0,bottom
C20,114.88,-62.97,0.0,bottom
C29,123.64,-73.85,0.0,bottom
C3,119.325,-76.915,0.0,bottom
C4,119.335,-77.885,0.0,bottom
C5,123.795,-77.485,90.0,bottom
C6,122.84,-77.485,90.0,bottom
C7,121.875,-77.485,90.0,bottom
C8,122.01,-70.675,270.0,bottom
C9,122.01,-72.53,270.0,bottom
D1,115.46,-54.72,0.0,top
D17,124.53,-58.035,90.0,top
D18,112.29,-58.01,90.0,top
J1,111.59,-66.71,90.0,top
J2,118.4148,-46.225,180.0,top
J3,118.4148,-77.22,0.0,top
J4,111.7092,-55.5658,0.0,bottom
J5,125.28,-66.7,90.0,top
L2,123.36,-64.92,270.0,bottom
R1,114.93,-63.85,0.0,bottom
R10,123.8864,-72.1882,180.0,bottom
R11,123.8864,-71.4382,180.0,bottom
R12,123.8864,-70.6882,180.0,bottom
R13,123.8864,-69.9482,180.0,bottom
R14,124.5362,-59.7408,90.0,top
R2,120.0,-58.905,270.0,bottom
R3,118.97855,-58.905,270.0,bottom
R4,114.56,-77.295,270.0,bottom
R5,111.15,-69.38,270.0,bottom
R6,114.88,-62.0,0.0,bottom
R7,124.78,-75.235,90.0,bottom
R8,124.77,-76.685,270.0,bottom
R9,123.8864,-72.9582,180.0,bottom
S1,120.96,-54.72,0.0,top
U1,118.4148,-62.37,90.0,top
U2,116.84,-70.485,180.0,bottom
U3,117.75,-81.5,270.0,bottom
Y1,118.0,-62.25,0.0,bottom
